HD,HD_RE
5296119,3291953
5287609,3287755
5312302,3302736
5270892,3257589
5153887,3221263
5174436,3243107
5186388,3264208
5299113,3323434
5262467,3325851
5409759,3381471
5580770,3451370
5825774,3551906
5963670,3678780
6275867,3855594
6511317,3975670
6805589,4120701
6992778,4252651
7247047,4407621
7408654,4527341
7596048,4688138
7573142,4776099
7613634,4901733
7615837,5022853
7746413,5189655
7748422,5291794
7837333,5413227
7898516,5504975
7959991,5574164
7900527,5594194
7988028,5696312
7980155,5681102
7965544,5766094
7854235,5793050
7924638,5877836
8029275,6011644
8180040,6117138
8224917,6185865
8402467,6308380
8513732,6393242
8709624,6526008
8791015,6610070
8871757,6648436
8938747,6689059
9033168,6715939
8996824,6672686
9144521,6735904
9226323,6774977
9343272,6792290
9328814,6784848
9489534,6834755
9624353,6899915
9849943,6997224
9914781,7026123
10108156,7096909
10252178,7155210
10421861,7201671
10463085,7198362
10615120,7234907
10701658,7253281
10946602,7372443
10909141,7323270
11050581,7373109
11170057,7434745
11376371,7510867
11421402,7520105
11615181,7592223
11746693,7648750
11968344,7737787
12047760,7776289
12242944,7863436
12404427,7949818
12633048,8056471
12679783,8105688
12887079,8221752
13065920,8342782
13358300,8515741
13500918,8604610
13826298,8747111
14130220,8983750
14543211,9276402
14736240,9433798
