date,area,old,new
2020Q1,臺北市,-0.1,2.75
2020Q2,臺北市,1.16,-2.93
2020Q3,臺北市,6.01,5.45
2020Q4,臺北市,6.17,8.49
2021Q1,臺北市,9.18,8.62
2021Q2,臺北市,8.31,10.41
2020Q1,新北市,2.93,11.78
2020Q2,新北市,0.72,9.63
2020Q3,新北市,5.55,10.48
2020Q4,新北市,6.74,0.64
2021Q1,新北市,9.47,-2.12
2021Q2,新北市,8.06,0.46
2020Q1,桃園市,2.07,-5.38
2020Q2,桃園市,7.05,5.76
2020Q3,桃園市,5.2,11.23
2020Q4,桃園市,8.3,11.34
2021Q1,桃園市,10.98,13.26
2021Q2,桃園市,10.2,1.99
2020Q1,新竹縣市,5.46,1.73
2020Q2,新竹縣市,9.01,16.95
2020Q3,新竹縣市,9.68,18.19
2020Q4,新竹縣市,13.46,7.55
2021Q1,新竹縣市,14.17,4.54
2021Q2,新竹縣市,23.69,2.11
2020Q1,臺中市,8.64,-4.43
2020Q2,臺中市,4.27,20.59
2020Q3,臺中市,7.13,7.45
2020Q4,臺中市,6.88,2.92
2021Q1,臺中市,10.73,20.39
2021Q2,臺中市,10.92,-4.15
2020Q1,高雄市,1.02,9.36
2020Q2,高雄市,7.77,6.83
2020Q3,高雄市,8.95,2.99
2020Q4,高雄市,7.97,0.55
2021Q1,高雄市,10.36,3.08
2021Q2,高雄市,5.97,2.52
2020Q1,臺灣,2.67,4.19
2020Q2,臺灣,2.77,9.38
2020Q3,臺灣,6.1,9.46
2020Q4,臺灣,6.5,8.09
2021Q1,臺灣,10.81,8.58
2021Q2,臺灣,10.24,3.38
